44	0.001213
12	0.288349
13	0.279012
11	1.062465
48	1.094697
5	1.591424
7	1.842502
35	2.799143
43	2.999583
26	3.785271
20	4.264739
34	4.920427
10	4.927664
42	5.195295
28	3.372197
37	7.535084
40	5.012967
46	6.658876
23	5.688492
4	5.949557
50	7.888441
49	9.630564
38	10.464775
45	6.504287
14	7.979076
22	7.991019
33	11.330212
19	10.634756
24	10.686802
16	11.757042
18	8.164199
17	4.569110
15	7.068249
41	4.600163
2	6.622223
6	2.652687
21	1.945142
8	1.725752
32	2.222414
9	2.712536
29	2.821299
25	4.062442
36	4.490770
30	5.650451
1	5.691667
3	5.048974
47	6.693983
31	7.421713
39	7.020528
27	8.234585
